# Posiciones de boyas (X, Y) [m]
# Formato: X	Y
9.560000	1.500000
28.480000	1.500000
47.380000	1.500000
66.520000	1.500000
85.420000	1.500000
104.320000	1.500000
123.460000	1.500000
142.360000	1.500000

# Series de tiempo
# Formato: Time[s]	Eta1[m]	Eta2[m]	Eta3[m]	Eta4[m]	Eta5[m]	Eta6[m]	Eta7[m]	Eta8[m]
125.8865028544	0.0045233569	0.0006404396	-0.0023402676	0.0039444566	0.0044678329	-0.0069314577	-0.0112757934	-0.0126519026
125.9036369719	0.0044253259	0.0005792847	-0.0021550208	0.0032978428	0.0050753350	-0.0063982960	-0.0111590577	-0.0126134120
125.9207710894	0.0043270760	0.0005185537	-0.0019671093	0.0026302680	0.0056459666	-0.0058454033	-0.0110387038	-0.0125699146
125.9379052069	0.0042286091	0.0004582032	-0.0017782203	0.0019470775	0.0061745676	-0.0052736672	-0.0109144263	-0.0125211058
125.9550393243	0.0041299374	0.0003981817	-0.0015900350	0.0012534556	0.0066561792	-0.0046842191	-0.0107858926	-0.0124666523
125.9700316771	0.0040434394	0.0003458898	-0.0014272679	0.0006418928	0.0070353746	-0.0041549937	-0.0106696505	-0.0124140857
125.9850240299	0.0039568045	0.0002937762	-0.0012674168	0.0000293085	0.0073721274	-0.0036143435	-0.0105496151	-0.0123566436
126.0000163827	0.0038700493	0.0002418067	-0.0011115666	-0.0005813059	0.0076637138	-0.0030635213	-0.0104255155	-0.0122940419
126.0128669708	0.0037955996	0.0001973483	-0.0009819593	-0.0011010014	0.0078758039	-0.0025843668	-0.0103156846	-0.0122360364
126.0278593236	0.0037086550	0.0001455520	-0.0008362997	-0.0017007045	0.0080778394	-0.0020185492	-0.0101832459	-0.0121629890
126.0449934411	0.0036091974	0.0000864113	-0.0006783499	-0.0023744244	0.0082504572	-0.0013650751	-0.0100258272	-0.0120719727
126.0599857939	0.0035221057	0.0000346728	-0.0005486384	-0.0029512846	0.0083474023	-0.0007894705	-0.0098824063	-0.0119853020
126.0728363820	0.0034474235	-0.0000096902	-0.0004444715	-0.0034347724	0.0083697820	-0.0002949158	-0.0097549818	-0.0119054569
126.0878287348	0.0033602696	-0.0000614922	-0.0003318486	-0.0039844881	0.0083650583	0.0002814467	-0.0096007660	-0.0118054217
126.1006793229	0.0032855540	-0.0001059552	-0.0002434973	-0.0044422387	0.0083165430	0.0007732275	-0.0094635608	-0.0117134368
126.1156716757	0.0031983834	-0.0001579197	-0.0001505755	-0.0049593849	0.0082126623	0.0013421258	-0.0092973020	-0.0115983924
126.1328057931	0.0030987752	-0.0002174568	-0.0000585565	-0.0055266540	0.0080281282	0.0019826705	-0.0090986770	-0.0114560723
126.1499399106	0.0029991923	-0.0002771870	0.0000175192	-0.0060671414	0.0077773840	0.0026090126	-0.0088903150	-0.0113013685
126.1649322634	0.0029120846	-0.0003296303	0.0000706419	-0.0065171141	0.0075057507	0.0031420756	-0.0086995717	-0.0111551415
126.1799246162	0.0028250078	-0.0003822600	0.0001115859	-0.0069449609	0.0071875439	0.0036581119	-0.0085005648	-0.0109981075
126.1970587337	0.0027255286	-0.0004426484	0.0001429176	-0.0074061649	0.0067700194	0.0042232573	-0.0082625374	-0.0108045395
126.2163346158	0.0026136569	-0.0005109157	0.0001504421	-0.0078889327	0.0062365932	0.0048224446	-0.0079806158	-0.0105675291
126.2377522627	0.0024894008	-0.0005871925	0.0001391953	-0.0083798999	0.0055724136	0.0054355948	-0.0076489584	-0.0102783889
126.2591699095	0.0023651668	-0.0006639303	0.0000994638	-0.0088226739	0.0048423070	0.0059856009	-0.0072970288	-0.0099598281
126.2805875564	0.0022409274	-0.0007411300	0.0000325414	-0.0092171971	0.0040564085	0.0064649838	-0.0069240225	-0.0096093453
126.2998634385	0.0021290756	-0.0008109945	-0.0000499467	-0.0095311850	0.0033099817	0.0068304515	-0.0065697343	-0.0092644375
126.3191393207	0.0020171653	-0.0008812162	-0.0001525683	-0.0098065622	0.0025343501	0.0071287593	-0.0061974493	-0.0088894889
126.3362734381	0.0019176225	-0.0009439166	-0.0002598165	-0.0100192577	0.0018264045	0.0073349308	-0.0058512273	-0.0085292691
126.3555493203	0.0018055349	-0.0010147495	-0.0003973549	-0.0102228960	0.0010157023	0.0075021978	-0.0054444247	-0.0080917170
126.3769669672	0.0016808531	-0.0010937873	-0.0005694885	-0.0104054762	0.0001052428	0.0075936695	-0.0049710330	-0.0075627556
126.3983846140	0.0015559939	-0.0011731349	-0.0007598940	-0.0105428156	-0.0008069325	0.0075893751	-0.0044755125	-0.0069856551
126.4198022608	0.0014309498	-0.0012527468	-0.0009662834	-0.0106376735	-0.0017128041	0.0074963784	-0.0039585894	-0.0063571525
126.4412199077	0.0013057141	-0.0013325656	-0.0011862399	-0.0106880730	-0.0026052075	0.0073102158	-0.0034213800	-0.0056739883
126.4626375545	0.0011802925	-0.0014125372	-0.0014172645	-0.0106917238	-0.0034778451	0.0070349583	-0.0028654162	-0.0049329558
126.4840552014	0.0010546985	-0.0014926064	-0.0016568148	-0.0106582763	-0.0043253368	0.0066748224	-0.0022926729	-0.0041309875
126.5033310835	0.0009415331	-0.0015646997	-0.0018775972	-0.0105926739	-0.0050628292	0.0062825871	-0.0017648814	-0.0033547604
126.5226069657	0.0008282625	-0.0016367843	-0.0021013923	-0.0104945749	-0.0057735797	0.0058306223	-0.0012276190	-0.0025250195
126.5397410832	0.0007275080	-0.0017008171	-0.0023013982	-0.0103807729	-0.0063811359	0.0053829285	-0.0007440937	-0.0017412810
126.5568752006	0.0006267120	-0.0017647840	-0.0025011478	-0.0102424733	-0.0069646244	0.0048960969	-0.0002569885	-0.0009131876
126.5740093181	0.0005258853	-0.0018286527	-0.0026994664	-0.0100801857	-0.0075231064	0.0043742745	0.0002315375	-0.0000401765
126.5890016709	0.0004376525	-0.0018844405	-0.0028709448	-0.0099189291	-0.0079907374	0.0038923477	0.0006583167	0.0007607340
126.6061357884	0.0003368215	-0.0019480750	-0.0030636156	-0.0097131487	-0.0085007083	0.0033165356	0.0011430074	0.0017182392
126.6254116705	0.0002234082	-0.0020194685	-0.0032749765	-0.0094549861	-0.0090429317	0.0026420376	0.0016811535	0.0028484878
126.6425457880	0.0001226361	-0.0020827414	-0.0034570303	-0.0092025464	-0.0094968304	0.0020235137	0.0021500071	0.0038990804
126.6575381408	0.0000344990	-0.0021379462	-0.0036111400	-0.0089645330	-0.0098723806	0.0014711155	0.0025504723	0.0048524300
126.6746722583	-0.0000661732	-0.0022008456	-0.0037806439	-0.0086736483	-0.0102770794	0.0008306662	0.0029941970	0.0059788548
126.6939481404	-0.0001793455	-0.0022713477	-0.0039620684	-0.0083233872	-0.0107015129	0.0001031265	0.0034718330	0.0072895526
126.7110822579	-0.0002798684	-0.0023337796	-0.0041144332	-0.0079926429	-0.0110518234	-0.0005457912	0.0038737212	0.0084891766
126.7260746107	-0.0003677595	-0.0023882203	-0.0042404435	-0.0076891249	-0.0113379275	-0.0011125217	0.0042052669	0.0095618973
126.7432087282	-0.0004681309	-0.0024502224	-0.0043757106	-0.0073271552	-0.0116420593	-0.0017561825	0.0045583951	0.0108095501
126.7603428457	-0.0005684215	-0.0025119935	-0.0045012985	-0.0069502993	-0.0119223827	-0.0023928210	0.0048811194	0.0120746549
126.7774769631	-0.0006686300	-0.0025735362	-0.0046169236	-0.0065599433	-0.0121795023	-0.0030198670	0.0051705535	0.0133505706
126.7924693159	-0.0007562487	-0.0026272042	-0.0047097635	-0.0062084855	-0.0123859327	-0.0035588725	0.0053943680	0.0144701060
126.8096034334	-0.0008563047	-0.0026883369	-0.0048062187	-0.0057969741	-0.0126012070	-0.0041620415	0.0056142458	0.0157459863
126.8288793156	-0.0009687732	-0.0027568641	-0.0049023582	-0.0053235767	-0.0128178159	-0.0048221881	0.0058131265	0.0171665996
126.8481551977	-0.0010811469	-0.0028251458	-0.0049854172	-0.0048417156	-0.0130081531	-0.0054608630	0.0059586698	0.0185592882
126.8674310799	-0.0011934199	-0.0028932013	-0.0050555221	-0.0043542958	-0.0131730400	-0.0060764207	0.0060498575	0.0199107938
126.8867069620	-0.0013055963	-0.0029610510	-0.0051128836	-0.0038644178	-0.0133132497	-0.0066675954	0.0060729724	0.0212076362
126.9059828442	-0.0014176717	-0.0030287157	-0.0051578111	-0.0033753675	-0.0134294890	-0.0072334781	0.0060489257	0.0224364530
126.9231169617	-0.0015172104	-0.0030887255	-0.0051878388	-0.0029441367	-0.0135131711	-0.0077147600	0.0059771757	0.0234611705
126.9402510791	-0.0016166659	-0.0031486230	-0.0052092732	-0.0025188008	-0.0135788033	-0.0081753517	0.0058570062	0.0244133845
126.9573851966	-0.0017160384	-0.0032084251	-0.0052209310	-0.0021019399	-0.0136273950	-0.0086151799	0.0056913495	0.0252852682
126.9723775494	-0.0018029154	-0.0032606865	-0.0052231438	-0.0017462041	-0.0136569459	-0.0089830440	0.0055096843	0.0259767938
126.9895116669	-0.0019021155	-0.0033203529	-0.0052212765	-0.0013523374	-0.0136699975	-0.0093842093	0.0052613276	0.0266802348
127.0087875490	-0.0020136046	-0.0033874186	-0.0052085663	-0.0009285785	-0.0136681665	-0.0098113054	0.0049321186	0.0273552351
127.0280634312	-0.0021249666	-0.0034544424	-0.0051876116	-0.0005288759	-0.0136446245	-0.0102132820	0.0045530377	0.0279024020
127.0451975487	-0.0022238470	-0.0035139984	-0.0051625283	-0.0001967077	-0.0136063443	-0.0105500128	0.0041769794	0.0282792673
127.0623316662	-0.0023226195	-0.0035735453	-0.0051319604	0.0001111517	-0.0135516766	-0.0108679030	0.0037669104	0.0285553634
127.0794657836	-0.0024212871	-0.0036330945	-0.0050965380	0.0003924015	-0.0134806689	-0.0111675020	0.0033257273	0.0287325811
127.0944581364	-0.0025075302	-0.0036852087	-0.0050620735	0.0006149772	-0.0134051703	-0.0114151090	0.0029165673	0.0287918579
127.1094504892	-0.0025936922	-0.0037373358	-0.0050248327	0.0008142238	-0.0133171892	-0.0116495583	0.0024880457	0.0287950803
127.1223010773	-0.0026674774	-0.0037820290	-0.0049910424	0.0009655200	-0.0132318232	-0.0118403556	0.0021069776	0.0287349168
127.1372934301	-0.0027534827	-0.0038341917	-0.0049498403	0.0011182892	-0.0131205758	-0.0120514706	0.0016482673	0.0286070928
127.1544275476	-0.0028516750	-0.0038938345	-0.0049009593	0.0012605023	-0.0129780080	-0.0122781061	0.0011080864	0.0283861235
127.1737034297	-0.0029620132	-0.0039609736	-0.0048444853	0.0013796787	-0.0127978250	-0.0125151407	0.0004839325	0.0280528255
127.1929793119	-0.0030722213	-0.0040281513	-0.0047873612	0.0014554429	-0.0125965411	-0.0127340071	-0.0001532786	0.0276414938
